record_id,activitywindow_date_id,source_id,country,value,isOriginal,threshold
,3269,76,TGO,117,1,1
,3269,76,BFA,109,1,1
,3269,76,PAK,106,1,1
,3269,76,GNQ,104,1,1
,3269,76,ZWE,97,1,1
,3269,76,CHE,89,1,1
,3269,76,TUN,87,1,1
,3269,76,SEN,85,1,1
,3269,76,BEL,78,1,1
,3269,76,BDI,73,1,1
,3269,76,URY,71,1,1
,3269,76,IRQ,69,1,1
,3269,76,BLR,68,1,1
,3269,76,JPN,64,1,1
,3269,76,ITA,64,1,1
,3269,76,NZL,61,1,1
,3269,76,NLD,53,1,1
,3269,76,MWI,52,1,1
,3269,76,GIN,50,1,1
,3269,76,TCD,49,1,1
,3269,76,SWZ,46,1,1
,3269,76,IRL,43,1,1
,3269,76,PRY,43,1,1
,3269,76,CAF,39,1,1
,3269,76,LBR,39,1,1
,3269,76,MLI,37,1,1
,3269,76,SGP,37,1,1
,3269,76,LUX,37,1,1
,3269,76,CUB,31,1,1
,3269,76,DOM,31,1,1
,3269,76,NAM,27,1,1
,3269,76,RWA,26,1,1
,3269,76,AUT,26,1,1
,3269,76,SLV,23,1,1
,3269,76,SWE,20,1,1
,3269,76,TUR,20,1,1
,3269,76,TTO,20,1,1
,3269,76,BOL,19,1,1
,3269,76,MYS,18,1,1
,3269,76,CUW,18,1,1
,3269,76,IDN,18,1,1
,3269,76,STP,17,1,1
,3269,76,ATG,15,1,1
,3269,76,MDA,14,1,1
,3269,76,GNB,14,1,1
,3269,76,HKG,11,1,1
,3269,76,NOR,11,1,1
,3269,76,LCA,11,1,1
,3269,76,ROU,9,1,1
,3269,76,SDN,9,1,1
,3269,76,MUS,9,1,1
,3269,76,KOR,9,1,1
,3269,76,CHN,9,1,1
,3269,76,KWT,8,1,1
,3269,76,FIN,8,1,1
,3269,76,CZE,8,1,1
,3269,76,FJI,7,1,1
,3269,76,GUF,7,1,1
,3269,76,ISR,7,1,1
,3269,76,TZA,7,1,1
,3269,76,VUT,6,1,1
,3269,76,GUY,6,1,1
,3269,76,ARE,6,1,1
,3269,76,SAU,6,1,1
,3269,76,BHS,6,1,1
,3269,76,ABW,6,1,1
,3269,76,HUN,6,1,1
,3269,76,QAT,6,1,1
,3269,76,BGR,6,1,1
,3269,76,POL,6,1,1
,3269,76,KAZ,5,1,1
,3269,76,MTQ,5,1,1
,3269,76,SRB,5,1,1
,3269,76,GEO,5,1,1
,3269,76,JAM,5,1,1
,3269,76,DNK,5,1,1
,3269,76,GUM,5,1,1
,3269,76,LSO,5,1,1
,3269,76,SLE,5,1,1
,3269,76,SYR,4,1,1
,3269,76,OMN,4,1,1
,3269,76,HRV,4,1,1
,3269,76,SVK,4,1,1
,3269,76,NER,4,1,1
,3269,76,SSD,4,1,1
,3269,76,BRB,4,1,1
,3269,76,SYC,4,1,1
,3269,76,GRD,4,1,1
,3269,76,LVA,4,1,1
,3269,76,TLS,3,1,1
,3269,76,LBY,3,1,1
,3269,76,NPL,3,1,1
,3269,76,LKA,3,1,1
,3269,76,VNM,3,1,1
,3269,76,BHR,3,1,1
,3269,76,TWN,3,1,1
,3269,76,BLZ,3,1,1
,3269,76,LAO,3,1,1
,3269,76,AIA,3,1,1
,3269,76,GRC,2,1,1
,3269,76,BGD,2,1,1
,3269,76,EST,2,1,1
,3269,76,THA,2,1,1
,3269,76,MLT,2,1,1
,3269,76,PYF,2,1,1
,3269,76,CYP,1,1,1
,3269,76,GMB,1,1,1
,3269,76,WSM,1,1,1
,3269,76,CYM,1,1,1
,3269,76,MMR,1,1,1
,3269,76,DMA,1,1,1
,3269,76,MRT,1,1,1
,3269,76,DJI,1,1,1
,3269,76,COM,1,1,1
,3269,76,ISL,1,1,1
,3269,76,MNP,1,1,1
,3269,76,SOM,1,1,1
,3269,76,ALB,1,1,1
,3269,76,MDV,1,1,1
,3269,76,BTN,1,1,1
,3269,76,BRN,1,1,1
,3269,76,MKD,1,1,1
,3269,76,NU2,1,1,1
,3269,76,MAC,1,1,1
,3269,76,GLP,1,1,1
,3269,76,PSE,1,1,1
,3269,76,MNE,1,1,1
,3269,76,SVN,1,1,1
,3269,76,KGZ,1,1,1
